accession_no,cik,ticker,filed_at_dt,abn_ret_3d,sentiment_label_3d
0000003545-19-000056,3545,ALCO,2019-04-12,-0.016650449007654222,-1
0000003545-19-000146,3545,ALCO,2019-12-16,-0.011274432743719087,-1
0000003570-19-000040,3570,LNG,2019-05-09,-0.0019600408786711876,0
0000004962-19-000002,4962,AXP,2019-01-15,-0.0021970037567431433,0
0000004962-19-000091,4962,AXP,2019-11-15,-0.00126461511331033,0
0000006201-19-000057,6201,AAL,2019-09-03,0.03949648451102017,1
0000006951-19-000022,6951,AMAT,2019-08-15,-0.003553104435369603,0
0000012208-19-000003,12208,BIO-B,2019-02-28,-0.027351833746162013,-1
0000012927-19-000023,12927,BA,2019-04-05,-0.009068844078338967,-1
0000012927-19-000049,12927,BA,2019-06-26,-0.04352785698224948,-1
0000014693-19-000108,14693,BF-B,2019-07-25,0.007425909860725555,0
0000014707-19-000014,14707,CAL,2019-03-21,0.04014486405934958,1
0000014846-19-000064,14846,BRT,2019-11-18,-0.010808288074719785,-1
0000016732-19-000021,16732,CPB,2019-02-27,0.0003681893306488604,0
0000016732-19-000048,16732,CPB,2019-06-19,0.0127010087503856,1
0000016875-19-000036,16875,CP,2019-05-07,0.004937845861903489,0
0000016875-19-000072,16875,CP,2019-11-25,-0.0051906065942173285,0
0000018255-19-000035,18255,CATO,2019-11-22,-0.019868155484464967,-1
0000018349-19-000061,18349,SNV-PE,2019-07-19,-0.0074035063772196485,0
0000018498-19-000021,18498,GCO,2019-05-06,0.02562400777024698,1
0000018498-19-000028,18498,GCO,2019-06-12,-0.009693289758404777,-1
0000023426-19-000002,23426,CNLTN,2019-04-04,0.012037518760991572,1
0000025232-19-000052,25232,CUZ,2019-12-09,-0.03653835678978934,-1
0000026058-19-000047,26058,CTS,2019-05-17,0.003432161394288702,0
0000028412-19-000106,28412,CMA,2019-09-13,-0.010464025159793389,-1
0000028917-19-000146,28917,DDT,2019-05-20,0.00925144524114474,1
0000034088-19-000015,34088,XOM,2019-04-26,-0.024844538723913123,-1
0000034782-19-000028,34782,SRCE,2019-02-14,0.006607471558862876,0
0000034903-19-000019,34903,FRT-PC,2019-05-02,0.026634935844701446,1
0000040211-19-000041,40211,GATX,2019-05-30,0.023923598705315907,1
0000040533-19-000014,40533,GD,2019-03-29,-0.022477993654830164,-1
0000045012-19-000047,45012,HAL,2019-02-19,-0.020820886638329927,-1
0000046080-19-000097,46080,HAS,2019-07-23,0.03433575804980471,1
0000046619-19-000025,46619,HEI-A,2019-03-18,0.02620849584190177,1
0000048465-19-000006,48465,HRL,2019-02-19,-0.018008951975201137,-1
0000055135-19-000009,55135,KELYB,2019-05-06,0.0009188975362794949,0
0000055242-19-000023,55242,KMT,2019-10-31,0.01726479314075635,1
0000057515-19-000015,57515,LANC,2019-08-21,-0.0807491472227938,-1
0000059255-19-000024,59255,VHI,2019-11-07,0.03417244016470167,1
0000060667-19-000179,60667,LOW,2019-11-20,-0.005420785780373638,0
0000063296-19-000014,63296,MATW,2019-02-25,-0.01585569790891639,-1
0000063296-19-000057,63296,MATW,2019-10-03,0.006866512609462139,0
0000063754-19-000085,63754,MKC,2019-04-01,0.0007200394729756088,0
0000063908-19-000075,63908,MCD,2019-10-22,-0.04891312919026636,-1
0000066382-19-000008,66382,MLKN,2019-01-17,-0.010859812041396522,-1
0000066382-19-000025,66382,MLKN,2019-05-09,-0.005573189829653713,0
0000066570-19-000028,66570,MSA,2019-05-21,-0.013725245242748318,-1
0000066570-19-000038,66570,MSA,2019-07-24,0.0076059633062735,0
0000067215-19-000027,67215,DY,2019-08-28,0.01494185413323601,1
0000067716-19-000038,67716,MDU,2019-04-30,0.029623562601967413,1
0000070318-19-000058,70318,THC,2019-11-12,0.02973940090317395,1
0000072633-19-000004,72633,NRT,2019-02-19,0.052450345923586994,1
0000072903-19-000079,72903,XEL,2019-11-26,0.01753746172841608,1
0000075252-19-000066,75252,OMI,2019-04-08,-0.07233785851308094,-1
0000076605-19-000102,76605,PATK,2019-07-11,-0.022393500243844677,-1
0000076605-19-000121,76605,PATK,2019-10-10,0.05234102939926988,1
0000077360-19-000010,77360,PNR,2019-04-09,0.01080949484213467,1
0000078749-19-000023,78749,AGYS,2019-05-30,-0.018205972935294135,-1
0000078749-19-000031,78749,AGYS,2019-07-25,0.03287284735590523,1
0000078749-19-000037,78749,AGYS,2019-08-07,0.013488148581372261,1
0000080420-19-000011,80420,POWL,2019-05-07,0.06457116882679503,1
0000080661-19-000038,80661,PGR,2019-09-13,0.029479524569353766,1
0000088205-19-000037,88205,SPXC,2019-09-03,0.02839061618316907,1
0000089439-19-000016,89439,MLI,2019-02-25,0.01391121604062917,1
0000090168-19-000028,90168,SIF,2019-09-24,-0.004602221150771135,0
0000090168-19-000041,90168,SIF,2019-12-16,0.10372697495227223,1
0000092380-19-000075,92380,LUV,2019-07-25,-0.017270121292611518,-1
0000093410-19-000002,93410,CVX,2019-02-01,-0.005703724033226165,0
0000097216-19-000225,97216,TEX,2019-11-01,-0.03742632406445012,-1
0000097745-19-000037,97745,TMO,2019-09-06,-0.0003530364494568339,0
0000099780-19-000136,99780,TRN,2019-12-18,0.006349308652785712,0
0000100493-19-000105,100493,TSN,2019-09-03,-0.042886358667253544,-1
0000102752-19-000062,102752,VSEC,2019-10-30,0.035717029871701556,1
0000103595-19-000008,103595,VLGEA,2019-06-14,-0.058801119617041375,-1
0000103595-19-000010,103595,VLGEA,2019-09-16,-0.015571840202430742,-1
0000103730-19-000007,103730,VSH,2019-02-14,-0.010856734797280776,-1
0000103730-19-000049,103730,VSH,2019-09-11,0.0007237752301959555,0
0000104169-19-000083,104169,WMT,2019-11-15,0.0026791281865551353,0
0000105132-19-000023,105132,WDFC,2019-06-24,-0.002729185799767997,0
0000105770-19-000042,105770,WST,2019-10-24,0.017680643207652613,1
0000106640-19-000065,106640,WHR,2019-04-12,0.019915156680975987,1
0000107815-19-000172,107815,WELPM,2019-04-25,0.005493388501403573,0
0000108985-19-000053,108985,YORW,2019-05-07,0.07729366791054681,1
0000202058-19-000053,202058,LHX,2019-04-04,-0.009437179808363894,-1
0000202058-19-000114,202058,LHX,2019-12-16,-0.004418852247258576,0
0000216085-19-000002,216085,HVT-A,2019-02-20,0.08339832933908942,1
0000277509-19-000004,277509,FSS,2019-02-21,-0.0072551667786942,0
0000277509-19-000033,277509,FSS,2019-07-02,-0.01739115818075132,-1
0000278166-19-000102,278166,CVCO,2019-10-28,-0.00015765150050772725,0
0000310158-19-000024,310158,MRK,2019-05-31,-0.021385444817325627,-1
